Time_s   Intensity_dB
111.176000   64.616604
111.186667   65.114346
111.197333   64.790688
111.208000   63.857231
111.218667   63.208216
111.229333   62.430762
111.240000   60.498213
111.250667   57.961784
111.261333   56.024503
111.272000   55.525715
111.282667   59.036387
111.293333   63.477327
111.304000   66.915398
111.314667   70.072728
111.325333   72.309475
111.336000   73.083104
111.346667   73.013286
111.357333   73.200523
111.368000   73.078535
111.378667   71.785393
111.389333   70.289837
111.400000   69.672861
111.410667   69.418249
111.421333   68.351397
111.432000   65.549526
111.442667   61.167093
111.453333   57.511265
111.464000   55.435426
111.474667   54.340993
111.485333   54.707407
111.496000   56.624544
111.506667   58.542520
111.517333   58.947401
111.528000   57.828061
111.538667   55.332163
111.549333   51.604264
111.560000   51.862911
111.570667   55.759592
111.581333   58.000643
111.592000   57.679216
111.602667   55.250022
111.613333   52.586175
111.624000   52.281667
111.634667   54.940880
111.645333   57.612669
111.656000   58.338575
111.666667   57.223850
111.677333   54.933238
111.688000   52.238310
111.698667   50.113146
111.709333   50.569972
111.720000   52.811126
111.730667   54.312010
111.741333   54.903875
111.752000   55.174933
111.762667   56.827829
111.773333   61.152757
111.784000   64.393889
111.794667   64.893762
111.805333   62.111938
111.816000   55.874838
111.826667   48.118078
111.837333   44.100045
111.848000   42.408830
111.858667   40.946800
111.869333   47.738179
111.880000   54.215728
111.890667   56.769699
111.901333   57.174505
111.912000   56.649343
111.922667   57.791172
111.933333   62.236126
111.944000   65.707669
111.954667   67.466950
111.965333   67.822246
111.976000   66.850901
111.986667   64.907434
111.997333   62.602918
112.008000   60.186294
112.018667   57.328517
112.029333   53.333992
112.040000   47.767175
112.050667   42.711330
112.061333   40.470021
112.072000   38.252549
112.082667   34.243271
112.093333   31.327339
112.104000   30.857695
112.114667   30.541827
112.125333   32.885073
112.136000   42.017147
112.146667   50.243497
112.157333   54.686122
112.168000   55.782303
112.178667   54.744336
112.189333   52.587962
112.200000   49.836495
112.210667   47.432422
112.221333   45.517108
112.232000   43.125081
112.242667   39.752504
112.253333   36.517925
112.264000   35.096406
112.274667   35.055946
112.285333   34.067992
112.296000   31.682202
112.306667   28.976697
112.317333   26.136177
112.328000   24.771071
112.338667   25.079392
112.349333   24.942516
112.360000   24.002126
112.370667   23.621472
112.381333   23.910127
112.392000   23.908470
112.402667   23.411987
112.413333   23.071637
112.424000   23.471197
112.434667   24.074628
112.445333   24.047605
112.456000   24.516842
112.466667   25.562576
112.477333   25.974668
112.488000   26.045824
112.498667   27.296924
112.509333   29.981281
112.520000   33.010509
112.530667   34.780512
112.541333   35.005127
112.552000   34.068851
112.562667   32.602702
112.573333   31.846631
112.584000   31.949319
112.594667   32.711612
112.605333   33.951068
112.616000   34.215142
112.626667   33.605857
112.637333   33.666297
112.648000   34.390293
112.658667   34.560013
112.669333   34.817200
112.680000   35.389932
112.690667   35.228868
112.701333   34.299075
112.712000   33.370296
112.722667   33.028928
112.733333   32.870827
112.744000   32.668884
112.754667   32.617986
112.765333   32.735429
112.776000   32.781965
112.786667   32.611418
112.797333   32.634888
112.808000   32.658366
112.818667   32.543460
112.829333   32.640901
112.840000   33.410362
112.850667   34.229317
112.861333   34.363814
112.872000   34.473324
112.882667   34.286997
112.893333   32.884226
112.904000   31.403814
112.914667   30.952264
112.925333   30.733700
112.936000   30.326366
112.946667   29.675242
112.957333   28.589367
112.968000   27.274259
112.978667   28.185199
112.989333   34.668708
113.000000   40.630984
113.010667   43.564710
113.021333   44.921705
113.032000   46.600542
113.042667   48.859264
113.053333   51.584030
113.064000   53.005243
